Date,Day,Menu_Item,Quantity_Sold,Weather,Event,Holiday,Occupancy_Rate
05-01-2021,Tuesday,Paratha,101,Sunny,None,0,62
05-01-2021,Tuesday,Fish Fry,42,Sunny,None,0,62
05-01-2021,Tuesday,Dal Tadka,50,Sunny,None,0,62
05-01-2021,Tuesday,Chole Bhature,75,Sunny,None,0,62
06-01-2021,Wednesday,Chicken Biryani,147,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Paneer Butter Masala,157,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Veg Fried Rice,76,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Mutton Curry,134,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Dosa,121,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Idli,68,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Paratha,116,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Fish Fry,153,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Dal Tadka,86,Cloudy,Music Night,0,95
06-01-2021,Wednesday,Chole Bhature,91,Cloudy,Music Night,0,95
07-01-2021,Thursday,Chicken Biryani,112,Rainy,None,0,81
07-01-2021,Thursday,Paneer Butter Masala,98,Rainy,None,0,81
07-01-2021,Thursday,Veg Fried Rice,116,Rainy,None,0,81
07-01-2021,Thursday,Mutton Curry,66,Rainy,None,0,81
07-01-2021,Thursday,Dosa,63,Rainy,None,0,81
07-01-2021,Thursday,Idli,63,Rainy,None,0,81
07-01-2021,Thursday,Paratha,54,Rainy,None,0,81
07-01-2021,Thursday,Fish Fry,72,Rainy,None,0,81
07-01-2021,Thursday,Dal Tadka,65,Rainy,None,0,81
07-01-2021,Thursday,Chole Bhature,43,Rainy,None,0,81
08-01-2021,Friday,Chicken Biryani,46,Rainy,None,0,46
08-01-2021,Friday,Paneer Butter Masala,53,Rainy,None,0,46
08-01-2021,Friday,Veg Fried Rice,72,Rainy,None,0,46
08-01-2021,Friday,Mutton Curry,43,Rainy,None,0,46
08-01-2021,Friday,Dosa,55,Rainy,None,0,46
08-01-2021,Friday,Idli,60,Rainy,None,0,46
08-01-2021,Friday,Paratha,29,Rainy,None,0,46
08-01-2021,Friday,Fish Fry,56,Rainy,None,0,46
08-01-2021,Friday,Dal Tadka,30,Rainy,None,0,46
08-01-2021,Friday,Chole Bhature,34,Rainy,None,0,46
09-01-2021,Saturday,Chicken Biryani,72,Cloudy,None,1,59
09-01-2021,Saturday,Paneer Butter Masala,95,Cloudy,None,1,59
09-01-2021,Saturday,Veg Fried Rice,87,Cloudy,None,1,59
09-01-2021,Saturday,Mutton Curry,33,Cloudy,None,1,59
09-01-2021,Saturday,Dosa,70,Cloudy,None,1,59
09-01-2021,Saturday,Idli,44,Cloudy,None,1,59
09-01-2021,Saturday,Paratha,63,Cloudy,None,1,59
09-01-2021,Saturday,Fish Fry,85,Cloudy,None,1,59
09-01-2021,Saturday,Dal Tadka,30,Cloudy,None,1,59
09-01-2021,Saturday,Chole Bhature,39,Cloudy,None,1,59
10-01-2021,Sunday,Chicken Biryani,123,Rainy,None,1,91
10-01-2021,Sunday,Paneer Butter Masala,73,Rainy,None,1,91
10-01-2021,Sunday,Veg Fried Rice,106,Rainy,None,1,91
10-01-2021,Sunday,Mutton Curry,100,Rainy,None,1,91
10-01-2021,Sunday,Dosa,118,Rainy,None,1,91
10-01-2021,Sunday,Idli,109,Rainy,None,1,91
10-01-2021,Sunday,Paratha,93,Rainy,None,1,91
10-01-2021,Sunday,Fish Fry,117,Rainy,None,1,91
10-01-2021,Sunday,Dal Tadka,78,Rainy,None,1,91
10-01-2021,Sunday,Chole Bhature,77,Rainy,None,1,91
11-01-2021,Monday,Chicken Biryani,81,Cloudy,Wedding,0,72
11-01-2021,Monday,Paneer Butter Masala,62,Cloudy,Wedding,0,72
11-01-2021,Monday,Veg Fried Rice,135,Cloudy,Wedding,0,72
11-01-2021,Monday,Mutton Curry,61,Cloudy,Wedding,0,72
11-01-2021,Monday,Dosa,105,Cloudy,Wedding,0,72
11-01-2021,Monday,Idli,65,Cloudy,Wedding,0,72
11-01-2021,Monday,Paratha,68,Cloudy,Wedding,0,72
11-01-2021,Monday,Fish Fry,57,Cloudy,Wedding,0,72
11-01-2021,Monday,Dal Tadka,122,Cloudy,Wedding,0,72
11-01-2021,Monday,Chole Bhature,101,Cloudy,Wedding,0,72
12-01-2021,Tuesday,Chicken Biryani,108,Stormy,None,0,81
12-01-2021,Tuesday,Paneer Butter Masala,31,Stormy,None,0,81
12-01-2021,Tuesday,Veg Fried Rice,110,Stormy,None,0,81
12-01-2021,Tuesday,Mutton Curry,50,Stormy,None,0,81
12-01-2021,Tuesday,Dosa,87,Stormy,None,0,81
12-01-2021,Tuesday,Idli,110,Stormy,None,0,81
12-01-2021,Tuesday,Paratha,109,Stormy,None,0,81
12-01-2021,Tuesday,Fish Fry,109,Stormy,None,0,81
12-01-2021,Tuesday,Dal Tadka,119,Stormy,None,0,81
12-01-2021,Tuesday,Chole Bhature,74,Stormy,None,0,81
13-01-2021,Wednesday,Chicken Biryani,126,Stormy,Conference,0,63
13-01-2021,Wednesday,Paneer Butter Masala,55,Stormy,Conference,0,63
13-01-2021,Wednesday,Veg Fried Rice,54,Stormy,Conference,0,63
13-01-2021,Wednesday,Mutton Curry,38,Stormy,Conference,0,63
13-01-2021,Wednesday,Dosa,73,Stormy,Conference,0,63
13-01-2021,Wednesday,Idli,59,Stormy,Conference,0,63
13-01-2021,Wednesday,Paratha,123,Stormy,Conference,0,63
13-01-2021,Wednesday,Fish Fry,39,Stormy,Conference,0,63
13-01-2021,Wednesday,Dal Tadka,109,Stormy,Conference,0,63
13-01-2021,Wednesday,Chole Bhature,57,Stormy,Conference,0,63
14-01-2021,Thursday,Chicken Biryani,96,Stormy,None,0,80
14-01-2021,Thursday,Paneer Butter Masala,93,Stormy,None,0,80
14-01-2021,Thursday,Veg Fried Rice,40,Stormy,None,0,80
14-01-2021,Thursday,Mutton Curry,38,Stormy,None,0,80
14-01-2021,Thursday,Dosa,70,Stormy,None,0,80
14-01-2021,Thursday,Idli,63,Stormy,None,0,80
14-01-2021,Thursday,Paratha,106,Stormy,None,0,80
14-01-2021,Thursday,Fish Fry,67,Stormy,None,0,80
14-01-2021,Thursday,Dal Tadka,96,Stormy,None,0,80
14-01-2021,Thursday,Chole Bhature,90,Stormy,None,0,80
15-01-2021,Friday,Chicken Biryani,170,Cloudy,Conference,0,90
15-01-2021,Friday,Paneer Butter Masala,125,Cloudy,Conference,0,90
15-01-2021,Friday,Veg Fried Rice,74,Cloudy,Conference,0,90
15-01-2021,Friday,Mutton Curry,150,Cloudy,Conference,0,90
15-01-2021,Friday,Dosa,86,Cloudy,Conference,0,90
15-01-2021,Friday,Idli,166,Cloudy,Conference,0,90
15-01-2021,Friday,Paratha,61,Cloudy,Conference,0,90
15-01-2021,Friday,Fish Fry,153,Cloudy,Conference,0,90
15-01-2021,Friday,Dal Tadka,141,Cloudy,Conference,0,90
15-01-2021,Friday,Chole Bhature,69,Cloudy,Conference,0,90
16-01-2021,Saturday,Chicken Biryani,62,Cloudy,None,1,61
16-01-2021,Saturday,Paneer Butter Masala,93,Cloudy,None,1,61
16-01-2021,Saturday,Veg Fried Rice,72,Cloudy,None,1,61
16-01-2021,Saturday,Mutton Curry,48,Cloudy,None,1,61
16-01-2021,Saturday,Dosa,70,Cloudy,None,1,61
16-01-2021,Saturday,Idli,77,Cloudy,None,1,61
16-01-2021,Saturday,Paratha,49,Cloudy,None,1,61
16-01-2021,Saturday,Fish Fry,75,Cloudy,None,1,61
16-01-2021,Saturday,Dal Tadka,78,Cloudy,None,1,61
16-01-2021,Saturday,Chole Bhature,66,Cloudy,None,1,61
17-01-2021,Sunday,Chicken Biryani,77,Cloudy,Music Night,1,77
17-01-2021,Sunday,Paneer Butter Masala,83,Cloudy,Music Night,1,77
17-01-2021,Sunday,Veg Fried Rice,106,Cloudy,Music Night,1,77
17-01-2021,Sunday,Mutton Curry,70,Cloudy,Music Night,1,77
17-01-2021,Sunday,Dosa,81,Cloudy,Music Night,1,77
17-01-2021,Sunday,Idli,67,Cloudy,Music Night,1,77
17-01-2021,Sunday,Paratha,112,Cloudy,Music Night,1,77
17-01-2021,Sunday,Fish Fry,140,Cloudy,Music Night,1,77
17-01-2021,Sunday,Dal Tadka,118,Cloudy,Music Night,1,77
17-01-2021,Sunday,Chole Bhature,88,Cloudy,Music Night,1,77
18-01-2021,Monday,Chicken Biryani,89,Sunny,None,0,61
18-01-2021,Monday,Paneer Butter Masala,69,Sunny,None,0,61
18-01-2021,Monday,Veg Fried Rice,45,Sunny,None,0,61
18-01-2021,Monday,Mutton Curry,71,Sunny,None,0,61
18-01-2021,Monday,Dosa,49,Sunny,None,0,61
18-01-2021,Monday,Idli,83,Sunny,None,0,61
18-01-2021,Monday,Paratha,65,Sunny,None,0,61
18-01-2021,Monday,Fish Fry,47,Sunny,None,0,61
18-01-2021,Monday,Dal Tadka,58,Sunny,None,0,61
18-01-2021,Monday,Chole Bhature,92,Sunny,None,0,61
19-01-2021,Tuesday,Chicken Biryani,106,Cloudy,None,0,76
19-01-2021,Tuesday,Paneer Butter Masala,49,Cloudy,None,0,76
19-01-2021,Tuesday,Veg Fried Rice,71,Cloudy,None,0,76
19-01-2021,Tuesday,Mutton Curry,96,Cloudy,None,0,76
19-01-2021,Tuesday,Dosa,90,Cloudy,None,0,76
19-01-2021,Tuesday,Idli,110,Cloudy,None,0,76
19-01-2021,Tuesday,Paratha,47,Cloudy,None,0,76
19-01-2021,Tuesday,Fish Fry,97,Cloudy,None,0,76
19-01-2021,Tuesday,Dal Tadka,69,Cloudy,None,0,76
19-01-2021,Tuesday,Chole Bhature,68,Cloudy,None,0,76
20-01-2021,Wednesday,Chicken Biryani,63,Rainy,Wedding,0,83
20-01-2021,Wednesday,Paneer Butter Masala,118,Rainy,Wedding,0,83
20-01-2021,Wednesday,Veg Fried Rice,78,Rainy,Wedding,0,83
20-01-2021,Wednesday,Mutton Curry,78,Rainy,Wedding,0,83
20-01-2021,Wednesday,Dosa,121,Rainy,Wedding,0,83
20-01-2021,Wednesday,Idli,71,Rainy,Wedding,0,83
20-01-2021,Wednesday,Paratha,137,Rainy,Wedding,0,83
20-01-2021,Wednesday,Fish Fry,115,Rainy,Wedding,0,83
20-01-2021,Wednesday,Dal Tadka,94,Rainy,Wedding,0,83
20-01-2021,Wednesday,Chole Bhature,125,Rainy,Wedding,0,83
21-01-2021,Thursday,Chicken Biryani,108,Rainy,None,0,80
21-01-2021,Thursday,Paneer Butter Masala,56,Rainy,None,0,80
21-01-2021,Thursday,Veg Fried Rice,76,Rainy,None,0,80
21-01-2021,Thursday,Mutton Curry,95,Rainy,None,0,80
21-01-2021,Thursday,Dosa,97,Rainy,None,0,80
21-01-2021,Thursday,Idli,70,Rainy,None,0,80
21-01-2021,Thursday,Paratha,74,Rainy,None,0,80
21-01-2021,Thursday,Fish Fry,114,Rainy,None,0,80
21-01-2021,Thursday,Dal Tadka,69,Rainy,None,0,80
21-01-2021,Thursday,Chole Bhature,57,Rainy,None,0,80
22-01-2021,Friday,Chicken Biryani,103,Cloudy,None,0,98
22-01-2021,Friday,Paneer Butter Masala,90,Cloudy,None,0,98
22-01-2021,Friday,Veg Fried Rice,96,Cloudy,None,0,98
22-01-2021,Friday,Mutton Curry,120,Cloudy,None,0,98
22-01-2021,Friday,Dosa,132,Cloudy,None,0,98
22-01-2021,Friday,Idli,59,Cloudy,None,0,98
22-01-2021,Friday,Paratha,64,Cloudy,None,0,98
22-01-2021,Friday,Fish Fry,82,Cloudy,None,0,98
22-01-2021,Friday,Dal Tadka,91,Cloudy,None,0,98
22-01-2021,Friday,Chole Bhature,141,Cloudy,None,0,98
23-01-2021,Saturday,Chicken Biryani,60,Sunny,Music Night,1,69
23-01-2021,Saturday,Paneer Butter Masala,150,Sunny,Music Night,1,69
23-01-2021,Saturday,Veg Fried Rice,74,Sunny,Music Night,1,69
23-01-2021,Saturday,Mutton Curry,127,Sunny,Music Night,1,69
23-01-2021,Saturday,Dosa,67,Sunny,Music Night,1,69
23-01-2021,Saturday,Idli,115,Sunny,Music Night,1,69
23-01-2021,Saturday,Paratha,62,Sunny,Music Night,1,69
23-01-2021,Saturday,Fish Fry,85,Sunny,Music Night,1,69
23-01-2021,Saturday,Dal Tadka,86,Sunny,Music Night,1,69
23-01-2021,Saturday,Chole Bhature,115,Sunny,Music Night,1,69
24-01-2021,Sunday,Chicken Biryani,131,Cloudy,Music Night,1,70
24-01-2021,Sunday,Paneer Butter Masala,96,Cloudy,Music Night,1,70
24-01-2021,Sunday,Veg Fried Rice,100,Cloudy,Music Night,1,70
24-01-2021,Sunday,Mutton Curry,112,Cloudy,Music Night,1,70
24-01-2021,Sunday,Dosa,90,Cloudy,Music Night,1,70
24-01-2021,Sunday,Idli,86,Cloudy,Music Night,1,70
24-01-2021,Sunday,Paratha,139,Cloudy,Music Night,1,70
24-01-2021,Sunday,Fish Fry,55,Cloudy,Music Night,1,70
24-01-2021,Sunday,Dal Tadka,62,Cloudy,Music Night,1,70
24-01-2021,Sunday,Chole Bhature,83,Cloudy,Music Night,1,70
25-01-2021,Monday,Chicken Biryani,79,Cloudy,None,0,92
25-01-2021,Monday,Paneer Butter Masala,116,Cloudy,None,0,92
25-01-2021,Monday,Veg Fried Rice,96,Cloudy,None,0,92
25-01-2021,Monday,Mutton Curry,54,Cloudy,None,0,92
25-01-2021,Monday,Dosa,83,Cloudy,None,0,92
25-01-2021,Monday,Idli,87,Cloudy,None,0,92
25-01-2021,Monday,Paratha,80,Cloudy,None,0,92
25-01-2021,Monday,Fish Fry,68,Cloudy,None,0,92
25-01-2021,Monday,Dal Tadka,134,Cloudy,None,0,92
25-01-2021,Monday,Chole Bhature,133,Cloudy,None,0,92
26-01-2021,Tuesday,Chicken Biryani,111,Rainy,None,0,97
26-01-2021,Tuesday,Paneer Butter Masala,93,Rainy,None,0,97
26-01-2021,Tuesday,Veg Fried Rice,73,Rainy,None,0,97
26-01-2021,Tuesday,Mutton Curry,83,Rainy,None,0,97
26-01-2021,Tuesday,Dosa,111,Rainy,None,0,97
26-01-2021,Tuesday,Idli,139,Rainy,None,0,97
26-01-2021,Tuesday,Paratha,88,Rainy,None,0,97
26-01-2021,Tuesday,Fish Fry,100,Rainy,None,0,97
26-01-2021,Tuesday,Dal Tadka,81,Rainy,None,0,97
26-01-2021,Tuesday,Chole Bhature,106,Rainy,None,0,97
27-01-2021,Wednesday,Chicken Biryani,109,Cloudy,Festival,0,85
27-01-2021,Wednesday,Paneer Butter Masala,106,Cloudy,Festival,0,85
27-01-2021,Wednesday,Veg Fried Rice,75,Cloudy,Festival,0,85
27-01-2021,Wednesday,Mutton Curry,133,Cloudy,Festival,0,85
27-01-2021,Wednesday,Dosa,73,Cloudy,Festival,0,85
27-01-2021,Wednesday,Idli,152,Cloudy,Festival,0,85
27-01-2021,Wednesday,Paratha,142,Cloudy,Festival,0,85
27-01-2021,Wednesday,Fish Fry,59,Cloudy,Festival,0,85
27-01-2021,Wednesday,Dal Tadka,87,Cloudy,Festival,0,85
27-01-2021,Wednesday,Chole Bhature,135,Cloudy,Festival,0,85
28-01-2021,Thursday,Chicken Biryani,91,Sunny,Conference,0,61
28-01-2021,Thursday,Paneer Butter Masala,68,Sunny,Conference,0,61
28-01-2021,Thursday,Veg Fried Rice,121,Sunny,Conference,0,61
28-01-2021,Thursday,Mutton Curry,38,Sunny,Conference,0,61
28-01-2021,Thursday,Dosa,110,Sunny,Conference,0,61
28-01-2021,Thursday,Idli,78,Sunny,Conference,0,61
28-01-2021,Thursday,Paratha,49,Sunny,Conference,0,61
28-01-2021,Thursday,Fish Fry,49,Sunny,Conference,0,61
28-01-2021,Thursday,Dal Tadka,51,Sunny,Conference,0,61
28-01-2021,Thursday,Chole Bhature,80,Sunny,Conference,0,61
29-01-2021,Friday,Chicken Biryani,69,Cloudy,Wedding,0,71
29-01-2021,Friday,Paneer Butter Masala,105,Cloudy,Wedding,0,71
29-01-2021,Friday,Veg Fried Rice,115,Cloudy,Wedding,0,71
29-01-2021,Friday,Mutton Curry,109,Cloudy,Wedding,0,71
29-01-2021,Friday,Dosa,131,Cloudy,Wedding,0,71
29-01-2021,Friday,Idli,34,Cloudy,Wedding,0,71
29-01-2021,Friday,Paratha,81,Cloudy,Wedding,0,71
29-01-2021,Friday,Fish Fry,53,Cloudy,Wedding,0,71
29-01-2021,Friday,Dal Tadka,91,Cloudy,Wedding,0,71
29-01-2021,Friday,Chole Bhature,126,Cloudy,Wedding,0,71
30-01-2021,Saturday,Chicken Biryani,74,Stormy,Festival,1,75
30-01-2021,Saturday,Paneer Butter Masala,76,Stormy,Festival,1,75
30-01-2021,Saturday,Veg Fried Rice,112,Stormy,Festival,1,75
30-01-2021,Saturday,Mutton Curry,84,Stormy,Festival,1,75
30-01-2021,Saturday,Dosa,156,Stormy,Festival,1,75
30-01-2021,Saturday,Idli,124,Stormy,Festival,1,75
30-01-2021,Saturday,Paratha,53,Stormy,Festival,1,75
30-01-2021,Saturday,Fish Fry,85,Stormy,Festival,1,75
30-01-2021,Saturday,Dal Tadka,112,Stormy,Festival,1,75
30-01-2021,Saturday,Chole Bhature,154,Stormy,Festival,1,75
31-01-2021,Sunday,Chicken Biryani,162,Rainy,Conference,1,87
31-01-2021,Sunday,Paneer Butter Masala,136,Rainy,Conference,1,87
31-01-2021,Sunday,Veg Fried Rice,162,Rainy,Conference,1,87
31-01-2021,Sunday,Mutton Curry,78,Rainy,Conference,1,87
31-01-2021,Sunday,Dosa,133,Rainy,Conference,1,87
31-01-2021,Sunday,Idli,58,Rainy,Conference,1,87
31-01-2021,Sunday,Paratha,142,Rainy,Conference,1,87
31-01-2021,Sunday,Fish Fry,139,Rainy,Conference,1,87
31-01-2021,Sunday,Dal Tadka,150,Rainy,Conference,1,87
31-01-2021,Sunday,Chole Bhature,175,Rainy,Conference,1,87
01-02-2021,Monday,Chicken Biryani,84,Stormy,None,0,89
01-02-2021,Monday,Paneer Butter Masala,128,Stormy,None,0,89
01-02-2021,Monday,Veg Fried Rice,61,Stormy,None,0,89
01-02-2021,Monday,Mutton Curry,104,Stormy,None,0,89
01-02-2021,Monday,Dosa,130,Stormy,None,0,89
01-02-2021,Monday,Idli,62,Stormy,None,0,89
01-02-2021,Monday,Paratha,38,Stormy,None,0,89
01-02-2021,Monday,Fish Fry,121,Stormy,None,0,89
01-02-2021,Monday,Dal Tadka,40,Stormy,None,0,89
01-02-2021,Monday,Chole Bhature,56,Stormy,None,0,89
02-02-2021,Tuesday,Chicken Biryani,116,Rainy,None,0,100
02-02-2021,Tuesday,Paneer Butter Masala,76,Rainy,None,0,100
02-02-2021,Tuesday,Veg Fried Rice,75,Rainy,None,0,100
02-02-2021,Tuesday,Mutton Curry,110,Rainy,None,0,100
02-02-2021,Tuesday,Dosa,131,Rainy,None,0,100
02-02-2021,Tuesday,Idli,103,Rainy,None,0,100
02-02-2021,Tuesday,Paratha,62,Rainy,None,0,100
02-02-2021,Tuesday,Fish Fry,128,Rainy,None,0,100
02-02-2021,Tuesday,Dal Tadka,121,Rainy,None,0,100
02-02-2021,Tuesday,Chole Bhature,115,Rainy,None,0,100
03-02-2021,Wednesday,Chicken Biryani,58,Stormy,None,0,54
03-02-2021,Wednesday,Paneer Butter Masala,73,Stormy,None,0,54
03-02-2021,Wednesday,Veg Fried Rice,18,Stormy,None,0,54
03-02-2021,Wednesday,Mutton Curry,71,Stormy,None,0,54
03-02-2021,Wednesday,Dosa,87,Stormy,None,0,54
03-02-2021,Wednesday,Idli,29,Stormy,None,0,54
03-02-2021,Wednesday,Paratha,45,Stormy,None,0,54
03-02-2021,Wednesday,Fish Fry,41,Stormy,None,0,54
03-02-2021,Wednesday,Dal Tadka,77,Stormy,None,0,54
03-02-2021,Wednesday,Chole Bhature,37,Stormy,None,0,54
04-02-2021,Thursday,Chicken Biryani,63,Stormy,Conference,0,74
04-02-2021,Thursday,Paneer Butter Masala,111,Stormy,Conference,0,74
04-02-2021,Thursday,Veg Fried Rice,39,Stormy,Conference,0,74
04-02-2021,Thursday,Mutton Curry,72,Stormy,Conference,0,74
04-02-2021,Thursday,Dosa,93,Stormy,Conference,0,74
04-02-2021,Thursday,Idli,110,Stormy,Conference,0,74
04-02-2021,Thursday,Paratha,39,Stormy,Conference,0,74
04-02-2021,Thursday,Fish Fry,101,Stormy,Conference,0,74
04-02-2021,Thursday,Dal Tadka,88,Stormy,Conference,0,74
04-02-2021,Thursday,Chole Bhature,113,Stormy,Conference,0,74
05-02-2021,Friday,Chicken Biryani,63,Cloudy,None,0,62
05-02-2021,Friday,Paneer Butter Masala,55,Cloudy,None,0,62
05-02-2021,Friday,Veg Fried Rice,63,Cloudy,None,0,62
05-02-2021,Friday,Mutton Curry,27,Cloudy,None,0,62
05-02-2021,Friday,Dosa,65,Cloudy,None,0,62
05-02-2021,Friday,Idli,97,Cloudy,None,0,62
05-02-2021,Friday,Paratha,73,Cloudy,None,0,62
05-02-2021,Friday,Fish Fry,89,Cloudy,None,0,62
05-02-2021,Friday,Dal Tadka,48,Cloudy,None,0,62
05-02-2021,Friday,Chole Bhature,54,Cloudy,None,0,62
06-02-2021,Saturday,Chicken Biryani,179,Cloudy,Conference,1,79
06-02-2021,Saturday,Paneer Butter Masala,117,Cloudy,Conference,1,79
06-02-2021,Saturday,Veg Fried Rice,47,Cloudy,Conference,1,79
06-02-2021,Saturday,Mutton Curry,153,Cloudy,Conference,1,79
06-02-2021,Saturday,Dosa,75,Cloudy,Conference,1,79
06-02-2021,Saturday,Idli,169,Cloudy,Conference,1,79
06-02-2021,Saturday,Paratha,113,Cloudy,Conference,1,79
06-02-2021,Saturday,Fish Fry,74,Cloudy,Conference,1,79
06-02-2021,Saturday,Dal Tadka,101,Cloudy,Conference,1,79
06-02-2021,Saturday,Chole Bhature,111,Cloudy,Conference,1,79
07-02-2021,Sunday,Chicken Biryani,86,Sunny,None,1,80
07-02-2021,Sunday,Paneer Butter Masala,85,Sunny,None,1,80
07-02-2021,Sunday,Veg Fried Rice,144,Sunny,None,1,80
07-02-2021,Sunday,Mutton Curry,105,Sunny,None,1,80
07-02-2021,Sunday,Dosa,127,Sunny,None,1,80
07-02-2021,Sunday,Idli,23,Sunny,None,1,80
07-02-2021,Sunday,Paratha,80,Sunny,None,1,80
07-02-2021,Sunday,Fish Fry,97,Sunny,None,1,80
07-02-2021,Sunday,Dal Tadka,128,Sunny,None,1,80
07-02-2021,Sunday,Chole Bhature,110,Sunny,None,1,80
08-02-2021,Monday,Chicken Biryani,96,Stormy,None,0,69
08-02-2021,Monday,Paneer Butter Masala,57,Stormy,None,0,69
08-02-2021,Monday,Veg Fried Rice,52,Stormy,None,0,69
08-02-2021,Monday,Mutton Curry,34,Stormy,None,0,69
08-02-2021,Monday,Dosa,81,Stormy,None,0,69
08-02-2021,Monday,Idli,113,Stormy,None,0,69
08-02-2021,Monday,Paratha,91,Stormy,None,0,69
08-02-2021,Monday,Fish Fry,38,Stormy,None,0,69
08-02-2021,Monday,Dal Tadka,38,Stormy,None,0,69
08-02-2021,Monday,Chole Bhature,83,Stormy,None,0,69
09-02-2021,Tuesday,Chicken Biryani,113,Cloudy,None,0,82
09-02-2021,Tuesday,Paneer Butter Masala,91,Cloudy,None,0,82
09-02-2021,Tuesday,Veg Fried Rice,68,Cloudy,None,0,82
09-02-2021,Tuesday,Mutton Curry,104,Cloudy,None,0,82
09-02-2021,Tuesday,Dosa,71,Cloudy,None,0,82
09-02-2021,Tuesday,Idli,58,Cloudy,None,0,82
09-02-2021,Tuesday,Paratha,67,Cloudy,None,0,82
09-02-2021,Tuesday,Fish Fry,80,Cloudy,None,0,82
09-02-2021,Tuesday,Dal Tadka,116,Cloudy,None,0,82
09-02-2021,Tuesday,Chole Bhature,87,Cloudy,None,0,82
10-02-2021,Wednesday,Chicken Biryani,85,Stormy,None,0,100
10-02-2021,Wednesday,Paneer Butter Masala,94,Stormy,None,0,100
10-02-2021,Wednesday,Veg Fried Rice,107,Stormy,None,0,100
10-02-2021,Wednesday,Mutton Curry,92,Stormy,None,0,100
10-02-2021,Wednesday,Dosa,113,Stormy,None,0,100
10-02-2021,Wednesday,Idli,49,Stormy,None,0,100
10-02-2021,Wednesday,Paratha,80,Stormy,None,0,100
10-02-2021,Wednesday,Fish Fry,114,Stormy,None,0,100
10-02-2021,Wednesday,Dal Tadka,112,Stormy,None,0,100
10-02-2021,Wednesday,Chole Bhature,79,Stormy,None,0,100
11-02-2021,Thursday,Chicken Biryani,82,Rainy,None,0,97
